REF_DATE,GEO,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,VALUE
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,123
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,Physical and life sciences and technologies [6],Female gender,International students,24
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,48
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,231
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,48
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,International students,102
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,123
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,240
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,87
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,84
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,36
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,International students,24
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,102
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,International students,30
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,Health and related fields [10],Male gender,Canadian students,738
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,Health and related fields [10],Male gender,International students,114
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,Health and related fields [10],Female gender,Canadian students,1260
2018/2019,Nova Scotia,University,Full-time student,Master's or equivalent,Health and related fields [10],Female gender,International students,57
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Education [1],Male gender,Canadian students,12
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Education [1],Male gender,International students,0
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Education [1],Female gender,Canadian students,27
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Education [1],Female gender,International students,3
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Education [1],Gender unknown,Canadian students,0
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Humanities [3],Male gender,Canadian students,27
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Humanities [3],Male gender,International students,9
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Humanities [3],Female gender,Canadian students,30
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Humanities [3],Female gender,International students,6
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,33
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Male gender,International students,27
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,60
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Female gender,International students,12
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,6
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,6
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,"Business, management and public administration [5]",Female gender,International students,3
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,78
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Male gender,International students,54
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,60
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Female gender,International students,36
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,21
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,24
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,6
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,"Mathematics, computer and information sciences [7]",Female gender,International students,21
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,45
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,48
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,21
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,12
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,3
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,International students,3
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,International students,0
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Health and related fields [10],Male gender,Canadian students,15
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Health and related fields [10],Male gender,International students,3
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Health and related fields [10],Female gender,Canadian students,27
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Health and related fields [10],Female gender,International students,6
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Other  [12],Male gender,Canadian students,15
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Other  [12],Male gender,International students,3
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Other  [12],Female gender,Canadian students,30
2018/2019,Nova Scotia,University,Full-time student,Doctoral or equivalent,Other  [12],Female gender,International students,9
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Education [1],Female gender,Canadian students,3
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Male gender,Canadian students,15
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Male gender,International students,12
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Female gender,Canadian students,24
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Female gender,International students,30
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Social and behavioural sciences and law [4],Male gender,International students,3
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Social and behavioural sciences and law [4],Female gender,International students,3
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Male gender,Canadian students,3
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Male gender,International students,18
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Female gender,Canadian students,0
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Female gender,International students,21
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Male gender,Canadian students,6
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Male gender,International students,12
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Female gender,Canadian students,9
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Female gender,International students,39
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Mathematics, computer and information sciences [7]",Male gender,Canadian students,3
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Mathematics, computer and information sciences [7]",Male gender,International students,9
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Mathematics, computer and information sciences [7]",Female gender,International students,0
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Male gender,International students,0
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Agriculture, natural resources and conservation [9]",Male gender,Canadian students,6
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Agriculture, natural resources and conservation [9]",Female gender,Canadian students,6
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Male gender,Canadian students,3
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Female gender,Canadian students,18
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Other  [12],Male gender,Canadian students,3
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Other  [12],Male gender,International students,3
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Other  [12],Female gender,Canadian students,12
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Other  [12],Female gender,International students,3
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Male gender,Canadian students,39
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Male gender,International students,45
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Female gender,Canadian students,48
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Female gender,International students,105
2018/2019,Nova Scotia,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Gender unknown,International students,3
2018/2019,Nova Scotia,University,Part-time student,Upper secondary education,Other  [12],Male gender,Canadian students,9
2018/2019,Nova Scotia,University,Part-time student,Upper secondary education,Other  [12],Male gender,International students,0
2018/2019,Nova Scotia,University,Part-time student,Upper secondary education,Other  [12],Female gender,Canadian students,6
2018/2019,Nova Scotia,University,Part-time student,Post-secondary non-tertiary education,Education [1],Male gender,Canadian students,0
2018/2019,Nova Scotia,University,Part-time student,Post-secondary non-tertiary education,Education [1],Female gender,Canadian students,27
2018/2019,Nova Scotia,University,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Female gender,Canadian students,0
2018/2019,Nova Scotia,University,Part-time student,Short-cycle tertiary education,Education [1],Male gender,Canadian students,0
2018/2019,Nova Scotia,University,Part-time student,Short-cycle tertiary education,Education [1],Female gender,Canadian students,15
2018/2019,Nova Scotia,University,Part-time student,Short-cycle tertiary education,Education [1],Female gender,International students,3
2018/2019,Nova Scotia,University,Part-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Female gender,Canadian students,0
2018/2019,Nova Scotia,University,Part-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Male gender,International students,0
2018/2019,Nova Scotia,University,Part-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,0
2018/2019,Nova Scotia,University,Part-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,0
2018/2019,Nova Scotia,University,Part-time student,Short-cycle tertiary education,Health and related fields [10],Male gender,Canadian students,0
2018/2019,Nova Scotia,University,Part-time student,Short-cycle tertiary education,Health and related fields [10],Female gender,Canadian students,15
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Education [1],Male gender,Canadian students,111
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Education [1],Female gender,Canadian students,162
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Education [1],Female gender,International students,3
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Education [1],Gender unknown,Canadian students,0
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,24
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,International students,0
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,39
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,International students,9
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Gender unknown,Canadian students,3
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Humanities [3],Male gender,Canadian students,192
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Humanities [3],Male gender,International students,12
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Humanities [3],Female gender,Canadian students,261
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Humanities [3],Female gender,International students,12
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Humanities [3],Gender unknown,Canadian students,3
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,75
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,International students,15
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,252
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,International students,30
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,234
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,International students,216
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,366
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,International students,129
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,81
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,International students,36
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,111
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,International students,12
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,45
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,33
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,9
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,International students,15
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,156
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,366
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,45
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,99
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Gender unknown,Canadian students,0
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,15
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,International students,9
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,18
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,International students,9
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,Canadian students,60
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,International students,3
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,Canadian students,402
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,International students,9
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Health and related fields [10],Gender unknown,Canadian students,3
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Male gender,Canadian students,6
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Female gender,Canadian students,6
2018/2019,Nova Scotia,University,Part-time student,Bachelor's or equivalent,Other  [12],Female gender,Canadian students,9
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Education [1],Male gender,Canadian students,270
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Education [1],Male gender,International students,6
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Education [1],Female gender,Canadian students,984
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Education [1],Female gender,International students,27
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Education [1],Gender unknown,Canadian students,3
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Humanities [3],Male gender,Canadian students,45
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Humanities [3],Male gender,International students,3
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Humanities [3],Female gender,Canadian students,51
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Humanities [3],Female gender,International students,0
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,30
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Social and behavioural sciences and law [4],Male gender,International students,3
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,132
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Social and behavioural sciences and law [4],Female gender,International students,15
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,201
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Male gender,International students,6
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,393
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Female gender,International students,9
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,24
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Physical and life sciences and technologies [6],Male gender,International students,0
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,15
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Physical and life sciences and technologies [6],Female gender,International students,3
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,24
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,3
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,15
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,15
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,3
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,3
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,0
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,6
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,15
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Health and related fields [10],Male gender,Canadian students,27
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Health and related fields [10],Female gender,Canadian students,114
2018/2019,Nova Scotia,University,Part-time student,Master's or equivalent,Health and related fields [10],Female gender,International students,0
2018/2019,Nova Scotia,University,Part-time student,Doctoral or equivalent,Education [1],Male gender,Canadian students,3
2018/2019,Nova Scotia,University,Part-time student,Doctoral or equivalent,Education [1],Female gender,Canadian students,3
2018/2019,Nova Scotia,University,Part-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,3
2018/2019,Nova Scotia,University,Part-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,6
2018/2019,Nova Scotia,University,Part-time student,Doctoral or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,3
2018/2019,Nova Scotia,University,Part-time student,Doctoral or equivalent,"Business, management and public administration [5]",Male gender,International students,0
2018/2019,Nova Scotia,University,Part-time student,Doctoral or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,9
2018/2019,Nova Scotia,University,Part-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,0
2018/2019,Nova Scotia,University,Part-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,0
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Education [1],Male gender,Canadian students,39
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Education [1],Female gender,Canadian students,102
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Education [1],Gender unknown,Canadian students,3
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Male gender,Canadian students,57
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Male gender,International students,3
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Female gender,Canadian students,153
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Female gender,International students,6
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Gender unknown,Canadian students,0
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Social and behavioural sciences and law [4],Male gender,Canadian students,0
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Female gender,Canadian students,6
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Male gender,Canadian students,12
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Female gender,Canadian students,18
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Male gender,Canadian students,0
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Agriculture, natural resources and conservation [9]",Male gender,Canadian students,3
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Agriculture, natural resources and conservation [9]",Female gender,Canadian students,3
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Male gender,Canadian students,6
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Male gender,International students,0
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Female gender,Canadian students,12
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Other  [12],Female gender,Canadian students,3
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Male gender,Canadian students,201
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Male gender,International students,48
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Female gender,Canadian students,318
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Female gender,International students,66
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Gender unknown,Canadian students,15
2018/2019,Nova Scotia,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Gender unknown,International students,3
2018/2019,Nova Scotia,College,Full-time student,Upper secondary education,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,3
2018/2019,Nova Scotia,College,Full-time student,Upper secondary education,Other  [12],Male gender,Canadian students,597
2018/2019,Nova Scotia,College,Full-time student,Upper secondary education,Other  [12],Male gender,International students,0
2018/2019,Nova Scotia,College,Full-time student,Upper secondary education,Other  [12],Female gender,Canadian students,825
2018/2019,Nova Scotia,College,Full-time student,Upper secondary education,Other  [12],Gender unknown,Canadian students,33
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Personal improvement and leisure [0],Male gender,Canadian students,6
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Personal improvement and leisure [0],Female gender,Canadian students,6
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Personal improvement and leisure [0],Gender unknown,Canadian students,0
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Male gender,Canadian students,3
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Female gender,Canadian students,0
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Gender unknown,Canadian students,3
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Humanities [3],Male gender,Canadian students,9
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Humanities [3],Female gender,Canadian students,15
2018/2019,Nova Scotia,College,Full-time student,Post-secondary non-tertiary education,Humanities [3],Gender unknown,Canadian students,0
